Size, Label, Opereation Count, Exection Time, Flops
100, 100, 8000000.000000, 0.000022, 363.636364
200, 200, 64000000.000000, 0.000022, 2909.090909
400, 400, 512000000.000000, 0.000042, 12190.476190
800, 800, 4096000000.000000, 0.000085, 48188.235294
1600, 1600, 32768000000.000000, 0.000170, 192752.941176
3200, 3200, 262144000000.000000, 0.000336, 780190.476190
6400, 6400, 2097152000000.000000, 0.000673, 3116124.814264
12800, 12800, 16777216000000.000000, 0.001338, 12539025.411061
25600, 25600, 134217728000000.000000, 0.002704, 49636733.727811
51200, 51200, 1073741824000000.000000, 0.005409, 198510228.138288
102400, 102400, 8589934592000000.000000, 0.010938, 785329547.632108
204800, 204800, 68719476736000000.000000, 0.022899, 3000981559.718765
409600, 409600, 549755813888000000.000000, 0.046190, 11902052692.963844
819200, 819200, 4398046511104000000.000000, 0.092371, 47612849391.085953
1638400, 1638400, 35184372088832000000.000000, 0.184650, 190546288052.163544
3276800, 3276800, 281474976710656000000.000000, 0.369266, 762255330061.949951
6553600, 6553600, 2251799813685248000000.000000, 0.738366, 3049706803516.478516
13107200, 13107200, 18014398509481984000000.000000, 1.476640, 12199587245017.054688
26214400, 26214400, 144115188075855872000000.000000, 2.952810, 48806116233640.453125
52428800, 52428800, 1152921504606846976000000.000000, 5.973138, 193017724453519.593750
104857600, 104857600, 9223372036854775808000000.000000, 11.879378, 776418768462016.750000
209715200, 209715200, 73786976294838206464000000.000000, 23.757109, 3105890379794873.500000
