Size, Label, Opereation Count, Exection Time, Flops
100, 100, 8000000.000000, 0.000000, inf
200, 200, 64000000.000000, 0.000000, inf
400, 400, 512000000.000000, 0.000000, inf
800, 800, 4096000000.000000, 0.000000, inf
1600, 1600, 32768000000.000000, 0.000000, inf
3200, 3200, 262144000000.000000, 0.000000, inf
6400, 6400, 2097152000000.000000, 0.000000, inf
12800, 12800, 16777216000000.000000, 0.000000, inf
25600, 25600, 134217728000000.000000, 0.000000, inf
51200, 51200, 1073741824000000.000000, 0.000000, inf
102400, 102400, 8589934592000000.000000, 0.000000, inf
204800, 204800, 68719476736000000.000000, 0.010000, 6871947673.600000
409600, 409600, 549755813888000000.000000, 0.010000, 54975581388.800003
819200, 819200, 4398046511104000000.000000, 0.030000, 146601550370.133331
1638400, 1638400, 35184372088832000000.000000, 0.060000, 586406201480.533325
3276800, 3276800, 281474976710656000000.000000, 0.110000, 2558863424642.327637
6553600, 6553600, 2251799813685248000000.000000, 0.220000, 10235453698569.310547
13107200, 13107200, 18014398509481984000000.000000, 0.440000, 40941814794277.242188
26214400, 26214400, 144115188075855872000000.000000, 0.880000, 163767259177108.968750
52428800, 52428800, 1152921504606846976000000.000000, 1.750000, 658812288346769.750000
104857600, 104857600, 9223372036854775808000000.000000, 3.500000, 2635249153387079.000000
