Size, Label, Opereation Count, Exection Time, Flops
100, 100, 8000000.000000, 0.000000, inf
200, 200, 64000000.000000, 0.000000, inf
400, 400, 512000000.000000, 0.000000, inf
800, 800, 4096000000.000000, 0.000000, inf
1600, 1600, 32768000000.000000, 0.000000, inf
3200, 3200, 262144000000.000000, 0.000000, inf
6400, 6400, 2097152000000.000000, 0.000000, inf
12800, 12800, 16777216000000.000000, 0.000000, inf
25600, 25600, 134217728000000.000000, 0.000000, inf
51200, 51200, 1073741824000000.000000, 0.000000, inf
102400, 102400, 8589934592000000.000000, 0.000000, inf
204800, 204800, 68719476736000000.000000, 0.010000, 6871947673.600000
409600, 409600, 549755813888000000.000000, 0.020000, 27487790694.400002
819200, 819200, 4398046511104000000.000000, 0.020000, 219902325555.200012
1638400, 1638400, 35184372088832000000.000000, 0.040000, 879609302220.800049
3276800, 3276800, 281474976710656000000.000000, 0.090000, 3127499741229.511230
6553600, 6553600, 2251799813685248000000.000000, 0.190000, 11851577966764.462891
13107200, 13107200, 18014398509481984000000.000000, 0.370000, 48687563539140.500000
26214400, 26214400, 144115188075855872000000.000000, 0.730000, 197418065857336.843750
52428800, 52428800, 1152921504606846976000000.000000, 1.440000, 800639933754754.875000
104857600, 104857600, 9223372036854775808000000.000000, 2.910000, 3169543655276555.000000
209715200, 209715200, 73786976294838206464000000.000000, 5.710000, 12922412661092506.000000
419430400, 419430400, 590295810358705651712000000.000000, 11.390000, 51825795466084784.000000
838860800, 838860800, 4722366482869645213696000000.000000, 23.620000, 199930841781102656.000000
1677721600, 1677721600, -829323112255635613848436736.000000, 50.800000, -16325258115268418.000000
